Data;Hora;Peso (g)
16/01/2026;13:25:58;-0,000184
16/01/2026;13:26:08;-0,000183
16/01/2026;13:26:21;-0,000184
16/01/2026;13:26:25;-0,000184
16/01/2026;13:26:32;-0,000184
16/01/2026;13:26:52;-0,000185
16/01/2026;13:27:11;-0,000186
16/01/2026;13:27:35;-0,000186
16/01/2026;13:27:50;-0,000185
